date,day_of_week,is_weekday,public_holiday
2013-10-29,Tuesday,TRUE,FALSE
2013-10-30,Wednesday,TRUE,FALSE
2013-10-31,Thursday,TRUE,FALSE
2013-11-01,Friday,TRUE,FALSE
2013-11-02,Saturday,FALSE,FALSE
2013-11-03,Sunday,FALSE,FALSE
2013-11-04,Monday,TRUE,FALSE
2013-11-05,Tuesday,TRUE,FALSE
2013-11-06,Wednesday,TRUE,FALSE
2013-11-07,Thursday,TRUE,FALSE
2013-11-08,Friday,TRUE,FALSE
2013-11-09,Saturday,FALSE,FALSE
2013-11-10,Sunday,FALSE,FALSE
2013-11-11,Monday,TRUE,TRUE
2013-11-12,Tuesday,TRUE,FALSE
2013-11-13,Wednesday,TRUE,FALSE
2013-11-14,Thursday,TRUE,FALSE
2013-11-15,Friday,TRUE,FALSE
2013-11-16,Saturday,FALSE,FALSE
2013-11-17,Sunday,FALSE,FALSE
2013-11-18,Monday,TRUE,FALSE
2013-11-19,Tuesday,TRUE,FALSE
2013-11-20,Wednesday,TRUE,FALSE
2013-11-21,Thursday,TRUE,FALSE
2013-11-22,Friday,TRUE,FALSE
2013-11-23,Saturday,FALSE,FALSE
2013-11-24,Sunday,FALSE,FALSE
2013-11-25,Monday,TRUE,FALSE
2013-11-26,Tuesday,TRUE,FALSE
2013-11-27,Wednesday,TRUE,FALSE
2013-11-28,Thursday,TRUE,TRUE
2013-11-29,Friday,TRUE,FALSE
2013-11-30,Saturday,FALSE,FALSE
2013-12-01,Sunday,FALSE,FALSE
2013-12-02,Monday,TRUE,FALSE
2013-12-03,Tuesday,TRUE,FALSE
2013-12-04,Wednesday,TRUE,FALSE
2013-12-05,Thursday,TRUE,FALSE
2013-12-06,Friday,TRUE,FALSE
2013-12-07,Saturday,FALSE,FALSE
2013-12-08,Sunday,FALSE,FALSE
2013-12-09,Monday,TRUE,FALSE
2013-12-10,Tuesday,TRUE,FALSE
2013-12-11,Wednesday,TRUE,FALSE
2013-12-12,Thursday,TRUE,FALSE
2013-12-13,Friday,TRUE,FALSE
2013-12-14,Saturday,FALSE,FALSE
2013-12-15,Sunday,FALSE,FALSE
2013-12-16,Monday,TRUE,FALSE
2013-12-17,Tuesday,TRUE,FALSE
2013-12-18,Wednesday,TRUE,FALSE
2013-12-19,Thursday,TRUE,FALSE
2013-12-20,Friday,TRUE,FALSE
2013-12-21,Saturday,FALSE,FALSE
2013-12-22,Sunday,FALSE,FALSE
2013-12-23,Monday,TRUE,FALSE
2013-12-24,Tuesday,TRUE,FALSE
2013-12-25,Wednesday,TRUE,TRUE
2013-12-26,Thursday,TRUE,FALSE
2013-12-27,Friday,TRUE,FALSE
2013-12-28,Saturday,FALSE,FALSE
2013-12-29,Sunday,FALSE,FALSE
2013-12-30,Monday,TRUE,FALSE
2013-12-31,Tuesday,TRUE,FALSE
2014-01-01,Wednesday,TRUE,TRUE
2014-01-02,Thursday,TRUE,FALSE
2014-01-03,Friday,TRUE,FALSE
2014-01-04,Saturday,FALSE,FALSE
2014-01-05,Sunday,FALSE,FALSE
2014-01-06,Monday,TRUE,FALSE
2014-01-07,Tuesday,TRUE,FALSE
2014-01-08,Wednesday,TRUE,FALSE
2014-01-09,Thursday,TRUE,FALSE
2014-01-10,Friday,TRUE,FALSE
2014-01-11,Saturday,FALSE,FALSE
2014-01-12,Sunday,FALSE,FALSE
2014-01-13,Monday,TRUE,FALSE
2014-01-14,Tuesday,TRUE,FALSE
2014-01-15,Wednesday,TRUE,FALSE
2014-01-16,Thursday,TRUE,FALSE
2014-01-17,Friday,TRUE,FALSE
2014-01-18,Saturday,FALSE,FALSE
2014-01-19,Sunday,FALSE,FALSE
2014-01-20,Monday,TRUE,TRUE
2014-01-21,Tuesday,TRUE,FALSE
2014-01-22,Wednesday,TRUE,FALSE
2014-01-23,Thursday,TRUE,FALSE
2014-01-24,Friday,TRUE,FALSE
2014-01-25,Saturday,FALSE,FALSE
2014-01-26,Sunday,FALSE,FALSE
2014-01-27,Monday,TRUE,FALSE
2014-01-28,Tuesday,TRUE,FALSE
2014-01-29,Wednesday,TRUE,FALSE
2014-01-30,Thursday,TRUE,FALSE
2014-01-31,Friday,TRUE,FALSE
2014-02-01,Saturday,FALSE,FALSE
